Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","1991","1991","ha","202","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","1992","1992","ha","212","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","1993","1993","ha","","M","Data not available"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","1994","1994","ha","","M","Data not available"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","1995","1995","ha","","M","Data not available"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","1996","1996","ha","","M","Data not available"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","1997","1997","ha","","M","Data not available"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","1998","1998","ha","","M","Data not available"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","1999","1999","ha","","M","Data not available"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2000","2000","ha","","M","Data not available"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2001","2001","ha","424","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2002","2002","ha","348","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2003","2003","ha","400","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2004","2004","ha","377","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2005","2005","ha","507","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2006","2006","ha","547","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2007","2007","ha","855","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2008","2008","ha","766","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2009","2009","ha","660","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2010","2010","ha","727","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2011","2011","ha","731","","Official data"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2012","2012","ha","957","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2013","2013","ha","1116","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2014","2014","ha","1348","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2015","2015","ha","1566","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2016","2016","ha","1853","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2017","2017","ha","2087","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2018","2018","ha","1776","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2019","2019","ha","1874","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","552","Blueberries","2020","2020","ha","1932","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","1991","1991","hg/ha","53564","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","1992","1992","hg/ha","52453","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","2001","2001","hg/ha","48585","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","2002","2002","hg/ha","43448","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","2003","2003","hg/ha","40125","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","2004","2004","hg/ha","41989","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","2005","2005","hg/ha","34793","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","2006","2006","hg/ha","42340","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","2007","2007","hg/ha","37883","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","2008","2008","hg/ha","38930","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","2009","2009","hg/ha","37909","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","2010","2010","hg/ha","38803","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","2011","2011","hg/ha","39713","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","2012","2012","hg/ha","38433","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","2013","2013","hg/ha","38127","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","2014","2014","hg/ha","37240","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","2015","2015","hg/ha","37178","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","2016","2016","hg/ha","36751","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","2017","2017","hg/ha","36679","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","2018","2018","hg/ha","36886","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","2019","2019","hg/ha","36702","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","552","Blueberries","2020","2020","hg/ha","36537","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","1991","1991","tonnes","1082","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","1992","1992","tonnes","1112","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","1993","1993","tonnes","","M","Data not available"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","1994","1994","tonnes","","M","Data not available"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","1995","1995","tonnes","","M","Data not available"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","1996","1996","tonnes","","M","Data not available"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","1997","1997","tonnes","","M","Data not available"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","1998","1998","tonnes","","M","Data not available"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","1999","1999","tonnes","","M","Data not available"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2000","2000","tonnes","","M","Data not available"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2001","2001","tonnes","2060","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2002","2002","tonnes","1512","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2003","2003","tonnes","1605","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2004","2004","tonnes","1583","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2005","2005","tonnes","1764","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2006","2006","tonnes","2316","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2007","2007","tonnes","3239","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2008","2008","tonnes","2982","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2009","2009","tonnes","2502","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2010","2010","tonnes","2821","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2011","2011","tonnes","2903","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2012","2012","tonnes","3678","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2013","2013","tonnes","4255","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2014","2014","tonnes","5020","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2015","2015","tonnes","5822","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2016","2016","tonnes","6810","","Official data"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2017","2017","tonnes","7655","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2018","2018","tonnes","6551","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2019","2019","tonnes","6878","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5510","Production","552","Blueberries","2020","2020","tonnes","7059","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","11","Austria","5312","Area harvested","552","Blueberries","2018","2018","ha","200","","Official data"
"QCL","Crops and livestock products","11","Austria","5312","Area harvested","552","Blueberries","2019","2019","ha","200","","Official data"
"QCL","Crops and livestock products","11","Austria","5312","Area harvested","552","Blueberries","2020","2020","ha","210","","Official data"
"QCL","Crops and livestock products","11","Austria","5419","Yield","552","Blueberries","2018","2018","hg/ha","71000","Fc","Calculated data"
"QCL","Crops and livestock products","11","Austria","5419","Yield","552","Blueberries","2019","2019","hg/ha","67500","Fc","Calculated data"
"QCL","Crops and livestock products","11","Austria","5419","Yield","552","Blueberries","2020","2020","hg/ha","74762","Fc","Calculated data"
"QCL","Crops and livestock products","11","Austria","5510","Production","552","Blueberries","2018","2018","tonnes","1420","","Official data"
"QCL","Crops and livestock products","11","Austria","5510","Production","552","Blueberries","2019","2019","tonnes","1350","","Official data"
"QCL","Crops and livestock products","11","Austria","5510","Production","552","Blueberries","2020","2020","tonnes","1570","","Official data"
"QCL","Crops and livestock products","255","Belgium","5312","Area harvested","552","Blueberries","2018","2018","ha","110","","Official data"
"QCL","Crops and livestock products","255","Belgium","5312","Area harvested","552","Blueberries","2019","2019","ha","110","","Official data"
"QCL","Crops and livestock products","255","Belgium","5312","Area harvested","552","Blueberries","2020","2020","ha","120","","Official data"
"QCL","Crops and livestock products","255","Belgium","5419","Yield","552","Blueberries","2018","2018","hg/ha","54545","Fc","Calculated data"
"QCL","Crops and livestock products","255","Belgium","5419","Yield","552","Blueberries","2019","2019","hg/ha","63636","Fc","Calculated data"
"QCL","Crops and livestock products","255","Belgium","5419","Yield","552","Blueberries","2020","2020","hg/ha","58333","Fc","Calculated data"
"QCL","Crops and livestock products","255","Belgium","5510","Production","552","Blueberries","2018","2018","tonnes","600","","Official data"
"QCL","Crops and livestock products","255","Belgium","5510","Production","552","Blueberries","2019","2019","tonnes","700","","Official data"
"QCL","Crops and livestock products","255","Belgium","5510","Production","552","Blueberries","2020","2020","tonnes","700","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1961","1961","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1962","1962","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1963","1963","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1964","1964","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1965","1965","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1966","1966","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1967","1967","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1968","1968","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1969","1969","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1970","1970","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1971","1971","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1972","1972","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1973","1973","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1974","1974","ha","","M","Data not available"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","552","Blueberries","1975","1975","ha","","M","Data not available"
