sepal_length	sepal_width	petal_length	petal_width	Species	Site
5	2	3.5	1	versicolor	Field
6	2.2	5	1.5	virginica	Field
5.5	2.3	4	1.3	versicolor	Field
5	2.3	3.3	1	versicolor	Field
5.5	2.4	3.8	1.1	versicolor	Field
6.7	2.5	5.8	1.8	virginica	Field
5.7	2.5	5	2	virginica	Field
5.8	2.6	4	1.2	versicolor	Field
5.2	2.7	3.9	1.4	versicolor	Field
6	2.7	5.1	1.6	versicolor	Field
5.8	2.7	5.1	1.9	virginica	Field
6.3	2.7	4.9	1.8	virginica	Field
6.5	2.8	4.6	1.5	versicolor	Field
5.6	2.8	4.9	2	virginica	Field
7.7	2.8	6.7	2	virginica	Field
6.4	2.8	5.6	2.2	virginica	Field
6.6	2.9	4.6	1.3	versicolor	Field
6.4	2.9	4.3	1.3	versicolor	Field
5.7	2.9	4.2	1.3	versicolor	Field
6.3	2.9	5.6	1.8	virginica	Field
4.9	3	1.4	0.2	setosa	Field
5.6	3	4.5	1.5	versicolor	Field
6.6	3	4.4	1.4	versicolor	Field
6.1	3	4.6	1.4	versicolor	Field
6.5	3	5.8	2.2	virginica	Field
6.5	3	5.5	1.8	virginica	Field
7.2	3	5.8	1.6	virginica	Field
6	3	4.8	1.8	virginica	Field
6.5	3	5.2	2	virginica	Field
6.9	3.1	4.9	1.5	versicolor	Field
6.7	3.1	4.4	1.4	versicolor	Field
6.7	3.1	5.6	2.4	virginica	Field
4.7	3.2	1.6	0.2	setosa	Field
4.6	3.2	1.4	0.2	setosa	Field
6.4	3.2	4.5	1.5	versicolor	Field
6.5	3.2	5.1	2	virginica	Field
6.9	3.2	5.7	2.3	virginica	Field
6.7	3.3	5.7	2.1	virginica	Field
6.7	3.3	5.7	2.5	virginica	Field
5.4	3.4	1.7	0.2	setosa	Field
5.2	3.4	1.4	0.2	setosa	Field
6	3.4	4.5	1.6	versicolor	Field
6.2	3.4	5.4	2.3	virginica	Field
5.1	3.5	1.4	0.3	setosa	Field
