species,brainMass,lnBrainMass,gliaNeuronRatio
Homo sapiens,1373.3,7.22,1.65
Pan troglodytes,336.2,5.82,1.2
Gorilla gorilla,509.2,6.23,1.21
Pongo pygmaeus,342.7,5.84,0.98
Hylobates muelleri,101.8,4.62,1.22
Papio anubis,155.8,5.05,0.97
Mandrillus sphinx,159.2,5.07,1.02
Macaca maura,92.6,4.53,0.84
Erythrocebus patas,102.3,4.63,1.09
Cercopithecus kandti,71.6,4.27,1.15
Colobus angolensis,74.4,4.31,1.2
Trachypithecus francoisi,91.2,4.51,1.14
Alouatta caraya,55.8,4.02,1.12
Saimiri boliviensis,24.1,3.18,0.51
Aotus trivirgatus,13.2,2.58,0.63
Saguinus oedipus,10,2.3,0.46
Leontopithecus rosalia,12.2,2.5,0.6
Pithecia pithecia,30,3.4,0.64
