songFrequency,fileLength
4.7,6.0
8.5,6.7
8.7,3.8
8.7,5.0
8.9,2.1
9.4,3.0
10.9,5.0
11.3,1.6
11.6,2.6
12.7,2.1
13.2,2.7
13.3,2.8
13.8,2.8
14.0,2.6
15.1,2.5
15.6,3.2
16.5,1.5
16.9,1.7
17.6,1.6
18.4,3.3
19.2,1.4
19.2,3.4
19.7,4.2
20.5,2.4
20.6,2.0
20.6,1.5
21.4,1.5
21.6,2.9
22.0,1.5
22.5,2.1
23.0,2.2
23.0,1.6
23.2,2.2
24.0,2.0
24.1,1.2
27.3,3.0
27.7,1.5
28.0,1.8
28.0,2.0
31.0,2.4
33.0,1.5
34.1,1.0
36.0,1.7
36.6,0.7
36.7,0.5
40.3,0.5
40.7,1.4
42.1,1.4
42.3,0.7
47.6,0.6
64.0,0.7
65.5,2.0
66.0,0.9
70.5,0.3
73.0,1.0
83.3,1.9
105.5,1.1
129.0,0.53
