days,health
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,0
72,-1
73,-2
74,-3
75,-4
76,-5
77,-6
78,-7
79,-8
80,-9
81,-10
82,-11
83,-12
84,-13
85,-14
86,-15
87,-16
88,-17
89,-18
90,-19
91,-20
92,-21
93,-22
94,-23
95,-24
96,-25
97,-26
98,-27
99,-28
