#species_taxid	min_ungapped_length	max_ungapped_length	expected_ungapped_length	number_of_genomes
9	318000	956000	636266	67
23	3680000	5522000	4601177	4
24	3620000	5699000	4653136	24
34	7410000	11116000	9263329	19
56	5994000	15000000	11989871	11
69	4891000	7337000	6131517	9
114	7199000	10800000	9015893	4
122	6222000	9334000	7777997	5
124	5461000	9315000	7387897	6
202	1370000	2600000	1985000	6
203	2010000	3016000	2542393	4
204	1370000	2600000	1985000	12
206	1370000	2600000	1985000	12
210	1294000	1942000	1617355	2998
212	1221000	1833000	1527018	8
213	1692000	2539000	2115782	63
214	1287000	1931000	1609110	23
215	1752000	2629000	2158551	5
216	1763000	2645000	2205704	5
227	3657000	5487000	4572483	4
235	2627000	3941000	3283867	218
236	2632000	3949000	3290674	17
238	3500000	4800000	4150000	55
247	3034000	4552000	3792718	4
250	3414000	6941000	5177905	6
253	3837000	5757000	4835509	60
254	3403000	5105000	4254717	6
256	3351000	5027000	4188881	7
258	4111000	6167000	5138967	7
263	1431000	2148000	1789931	1010
266	4152000	6229000	5149645	10
274	1718000	2623000	2187872	26
277	2446000	3671000	3058615	4
408	4174000	7760000	5849745	10
414	2607000	3912000	3259715	7
421	4183000	6276000	5229455	4
435	2952000	4429000	3691697	8
436	2787000	4181000	3515485	12
437	2932000	4399000	3665656	4
438	2262000	4234000	3228996	28
442	1653000	4196000	2924837	17
446	2900000	4100000	3500000	3561
447	3297000	4947000	4121711	5
450	3331000	4997000	4162732	9
451	2623000	3935000	3279051	7
452	2654000	3982000	3333033	4
453	2834000	4252000	3552239	5
454	2460000	3691000	3075359	7
455	2699000	4050000	3374426	4
456	2900000	4100000	3500000	7
463	3053000	4581000	3856043	4
464	3052000	4579000	3815052	6
466	2886000	4331000	3613342	4
470	3200000	4700000	3950000	13604
471	3200000	4700000	3950000	28
477	2223000	3335000	2803373	6
478	1822000	2734000	2254162	6
480	1526000	2290000	1909044	210
550	4100000	6100000	5100000	539
