incidence,area,isolation
present,7.928,3.317
absent,1.925,7.554
present,2.045,5.883
absent,4.781,5.932
absent,1.536,5.308
present,7.369,4.934
present,8.599,2.882
absent,2.422,8.771
present,6.403,6.092
present,7.199,6.977
absent,2.654,7.748
present,4.128,4.297
absent,4.175,8.516
present,7.098,3.318
absent,2.392,9.292
present,8.69,5.923
present,4.667,4.997
present,2.307,2.434
present,1.053,6.842
absent,0.657,6.452
present,5.632,2.506
present,5.895,6.613
absent,4.855,9.577
present,8.241,6.33
present,2.898,6.649
present,4.445,5.032
present,6.027,2.023
absent,1.574,5.737
absent,2.7,5.762
absent,3.106,6.924
absent,4.33,7.262
present,7.799,3.219
absent,4.63,9.229
present,6.951,5.841
absent,0.859,9.294
present,3.657,2.759
absent,2.696,8.342
absent,4.171,8.805
present,8.063,2.274
absent,0.153,5.65
present,1.948,5.447
present,2.006,5.48
present,6.508,4.007
present,1.501,5.4
present,9.269,5.272
present,4.17,4.786
absent,3.376,5.219
absent,2.228,7.99
absent,1.801,8.466
present,6.441,3.451
