time_points	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245
15S_rRNA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
21S_rRNA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HRA1	1.853	1.332	1.533	1.381	1.199	1	1	1	1	1.159	1.362	1.668	1.171	1	1	1	1.299	1	1.801	1	1.386	1.466	1.423	1.314	1.657	1	1.604	1.479	1.146	1	1	1	1.178	1.34	1.18	1.213	1	1.315	1.469	1.333	1.18	1.672	1.346	1.181	1.157	1.337	1.163	1.136	1.466	1.147
ICR1	6.44	7.334	4.252	4.448	4.905	6.976	6.323	6.342	5.77	6.511	5.972	5.957	5.206	6.427	8.07	9.647	9.703	8.32	7.939	7.854	7.558	6.326	6.398	7.839	6.609	6.78	7.41	7.764	8.449	5.844	7.151	6.987	6.603	6.632	6.613	5.481	5.234	5.419	5.435	6.134	6.559	6.989	7.156	6.804	7.646	9.093	9.368	8.558	8.83	7.341
LSR1	16.821	14.167	8.903	23.702	22.792	29.675	22.024	44.021	8.011	7.492	10.609	9.735	12.841	15.096	21.682	8.668	7.543	8.297	9.124	8.088	10.021	18.033	6.252	9.271	9.041	8.348	9.219	14.157	13.632	14.559	10.245	12.56	8.671	6.865	7.208	12.932	11.221	11.93	7.203	9.03	8.157	10.105	26.766	12.075	11.775	21.421	27.191	16.976	14.725	13.356
NME1	32.874	21.008	16.363	28.997	78.808	60.34	44.022	57.522	10.24	8.927	23.327	19.394	32.333	31.092	41.097	16.913	15.504	14.551	15.018	31.296	32.886	30.95	22.612	21.588	19.375	30.257	25.827	37.449	17.863	24.117	17.66	15.899	19.698	12.591	7.135	11.055	23.442	17.527	15.343	13.664	16.131	10.698	19.169	14.76	16.646	35.877	35.286	24.946	24.237	22.933
PWR1	1	1.243	1.434	1.186	1.389	1.177	1.162	1	1.078	1.233	1.177	1	1.083	1.092	1	1	1	1	1	1.109	1.094	1.114	1.31	1	1.214	1.111	1	1.156	1.071	1	1	1.084	1	1.083	1	1.312	1	1	1.229	1	1.176	1.082	1.085	1.088	1.077	1	1	1	1	1.072
Q0010	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Q0017	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Q0032	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AI1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AI2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
