,Species_Name,Actual EvapoTranspiration,After-ripening requirement,Altitude,Altitude (maximum recorded),Altitude (minimum recorded),Altitude (typical minimum),Annual precipitation,Annual seed dispersal,Appendages on dispersal unit,Average annual relative humidity,Average number of ground frost days per year (sum) (FRS),British distribution (post 1949 records),Carnivory,Change Index,Chromosome cDNA content,Chromosome number,Chromosome ploidy,Cleistogamy,Clonality,Cloud cover,"Comments, notes, methods",Dataset (1),Dataset (2),Dichogamy,"Dicliny (monoeceous, dioecious, hermaphrodite)",Dispersal syndrome (agent),Dispersal unit (dispersule / diaspore) length,EW Index,Ecosystem rooting depth,Ellenberg indicator value: Light,Ellenberg indicator value: Moisture,Ellenberg indicator value: Salt tolerance,Ellenberg indicator value: nitrogen,Ellenberg indicator value: pH (reaction),End of flowering,Epoch,Exposure,Family,Fern  and moss spore width (diameter),Fertilization,Fine root diameter,First historical record: 1. date,First historical record: 2. site,Flow,Flower pollen ovule ratio,Flowering periode: peak month,Fossil record: 1. earliest record,Fossil record: 2. earliest postglacial record,Fraction of absorbed photosynthetic active radiation (FAPAR) of the site,GPP of the site,Genera growth form,Germination requirements 1. chilling,Germination requirements 2. light,Germination requirements 3. temperature fluctuation,Germination type,Habitat / plot description,Heteromorphy,Heterophylly,Identifier within contributed dataset (ID),Inbreeding,Incompatibility systems,Intensity of mycorrhizal infection,January mean temperature,July mean temperature,Latitude,Length of growing season (LGP),Location / Site Name,Location Country,Longitude,Major Phylogenetic Group,Maximum Green Vegetation Fraction,Maximum depth of leaves in the canopy,Maximum temperature at which 50% seeds germinate,Maximum temperature of germination,Mean annual sum of potential evapotranspiration (PET),Mean annual temperature (MAT),Mean clear-sky surface radiation budget from ERBE global: Global shortwave radiation budget data derived from 5 Years of ERBE measurements,Mean cloud forcing surface radiation budget from ERBE global: Global shortwave radiation budget data derived from 5 Years of ERBE measurements,Mean cloud surface radiation budget from ERBE global: Global shortwave radiation budget data derived from 5 Years of ERBE measurements,Mean number of wet days per year,Mean sum of annual precipitation (PPT / MAP / TAP),Mid Point,Minimum temperature at which 50% seeds germinate,Minimum temperature germination,Mono/poly carpic,Mycorrhizal type,NDVI of the site,NPP of the site (2),Net primary productivity of the site (NPP),Normal method of propagation,Northern Limit in Britain,Northern Limit in Europe,Number of European countries in which native,Nutrition (autotroph versus heterotroph),"Onset of flowering (first flowering date, beginning of flowering period)",Order,Photoperiodism: threshold value (h),Photoperiodism: type,Photosynthesis per leaf area at leaf temperature (A_area),Photosynthesis per leaf dry mass (Amass),Physical defences on buds,Physical defences on flowers/fruits,Physical defences on leaves,Physical defences on stems,Plant age at first flowering (primary juvenil period),Plant growth form,Plant height (unspecified if vegetative or reproductive),Plant life form (Raunkiaer life form),Plant photosynthetic pathway,Plant relative growth rate (RGR),Pollen viability,Pollen: 1. mono/di-morphic,Pollen: 2. diameter (um),Pollination syndrome (pollen vector),Precipitation Seasonality (Coefficient of Variation),Precipitation of Coldest Quarter,Precipitation of Driest Month,Precipitation of Driest Quarter,Precipitation of Warmest Quarter,Precipitation of Wettest Month,Precipitation of Wettest Quarter,Priestley-Taylor alpha coefficient,Range: 1. european countries where native,Range: 2. european countries where introduced,Range: 3. continents where native,Range: 4. continents where introduced,Reference / source,Root architecture / root system / root habit,Root hair length,Root hairs,"Root persistence (livespan, longevity)",Root rooting depth ,SLA: undefined if petiole in- or excluded,SN Index,Salinity Tolerance,Seed / ovule ratio,Seed dry mass,Seed length (largest dimension length),Seed number per plant,Seed shedding season (time of seed dispersal),Seed viability,Seedbank density,Seedbank longevity,Seedbank type,Seeds per flower,Soil C content per ground area,Soil N content per ground area,Soil bulk density,Soil field capacity,Soil ph,Soil plant available water capacity of rooting zone (derived from remote sensing) 1,Soil plant available water capacity of rooting zone (derived from remote sensing) 2,Soil profile available water capacity,Soil thermal capacity,Soil water content (SWC),Soil wilting point,Solar radiation (kJ m-2 day-1),Southern Limit in Europe,Species conservation status,Species continentality,Species eastern limit,Species nutrient requirements (in soil),Species nutrient requirements (in water),Species occurance dynamics (increasing / decreasing),Species origin,"Species pH requirement ( soil, extreme minimum)","Species pH requirement ( soil, typical minimum)","Species pH requirement (soil, extreme maximum)","Species pH requirement (soil, typical maximum)","Species pH requirement (water, extreme maximum)","Species pH requirement (water, extreme minimum)","Species pH requirement (water, typical maximum)","Species pH requirement (water, typical minimum)",Species rarity status,Species soil moisture requirements (drainage),Species soil moisture requirements (supply),Species soil moisture requirements (water table),Species status (nativity at growth location),Species synonyms (alternative name),Spread (plant height versus plant width relationshp)),Stem longevity,Stem self-supporting,Stomata density,Stomata density on lower surface,Stomata density on upper surface,Stomata distribution (surfaces present),Subclass,Temperature sum of growing degree days (GDD),Temperature: Annual Range,Temperature: Isothermality (BIO2/BIO7) (* 100),Temperature: Max Temperature of Warmest Month,Temperature: Mean Diurnal Range (Mean of monthly (max temp - min temp)),Temperature: Mean Temperature of Coldest Quarter,Temperature: Mean Temperature of Driest Quarter,Temperature: Mean Temperature of Warmest Quarter,Temperature: Mean Temperature of Wettest Quarter,Temperature: Min Temperature of Coldest Month,Temperature: Seasonality (standard deviation *100),Terrestrial chlorophyll index of the site,Time (season) of germination (seedling emergence),Tolerance (resistance) to heavy metals,Tolerance to drought,Tolerance to frost (non-woody tissue),Tolerance to frost (seedlings),Tolerance to grazing,Tolerance to shade,Typical abundance where naturally occurring,Vegetation type / Biome,Vegetative regeneration / reproduction (clonal spread),Vegetative reproduction: pattern forming,Water vapor pressure (kPa),Wetness/Humidity/Aridity of area where samples were taken,Wind speed (m s-1),Woodiness
0,Abies alba,657.0,,1434.0,,,,,mast,wings,69.0,242.1,,does not kill insects,,34.46533333,24,2.0,,,62.3,,TRY db 091,Pe?uelas J. Catalonian Mediterranean Forest Trait Database,,monoecious,,32,,1.100000024,,,,,,,,,Pinaceae,,,,1603.0,vc 55,,,,,,0.456,1306.5,,,,,,,,none,34547.0,,,,,,42.71645,8.0,,Spain,0.852721,Gymnosperms,97.0,,,,720.0,7.595833393,191.8274231,-53.75724793,138.0713348,126.1,1144.0,,,,polycarpic,Ecto,0.564135432,758.9000244,724.7,seed,,,,autotrophic,,Pinales,,,,49.0,,glabrous,,soft hairs,>20,T,2500,Megaphanerophyte,,,,,124.8,wind,15.63462378,268.0,69.0,246.0,246.0,120.0,329.0,93.0,,,,,Ogaya Penuelas 2003,,,,,,53.99422821,,,,,12,,autumn,,partial,,,2,16.42270088,1926.5,1.309999943,451.3739929,5.46600008,361.7000122,378.7000122,268.5820007,1.054999948,97.0,182.7920075,14539.66667,,,,,fertile,,,Archeophyt in British Islands,,,,,,,,,,free draining,,,,,ht >> width,100-500,self supporting,,64,,lower,Pinidae,1230.0,22.79999971,34.17818679,19.70000076,7.625000123,1.783333321,14.46666654,15.25000016,5.133333365,-3.5,564.5345229,2.180596352,,,,resistant,,,,,4,,no ramets,0.75083334,1.5465,4.458333333,woody
1,Abies amabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Abies cephalonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Abies fraseri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Abies grandis,597.0,,1446.0,1830,,200.0,,irregular,wings,71.0,277.1,,,,34.46533333,24,2.0,,,71.4,,TRY db 068,Wirth C. The Functional Ecology of Trees (FET) Database  - Jena,,monoecious,wind,,,1.5,,,,,,7.0,,,Pinaceae,,,,1831.0,vc 16,,,6.0,,,0.663069427,1373.2,,,partial,,,,,None,31599.5,,,,,,44.0,5.0,Warsaw University of Life Sciences Arboretum in RogÃ³w,USA,-122.0,Gymnosperms,100.0,,,,864.0,5.787499947,186.8872528,-49.29966736,137.5906677,96.1,1388.0,,,,polycarpic,"ecto, ectendo",0.764138043,348.7999878,738.6,seed,,,0.0,autotrophic,,Pinales,,,,51.74,,,,,>20,T,5400,phanerophyte,,,,,,,66.16861578,622.0,23.0,106.0,108.0,238.0,669.0,69.0,,,North America,,"Foiles, Marvin W.; Graham, Russell T., Olson, David F., Jr. 1990 Silvics of North America. Volu...",tap,,,,>100,113.3,,,,,8,1000-10000,autumn,many non-viable,,03-Dec,,100-1000,28.14389992,1997.530029,1.175879955,385.4049988,6.505000114,253.5,258.7000122,251.9179993,0.952520013,78.0,133.4859924,14165.66667,,,,,fertile,,,Archeophyt in British Islands,5,,,,,,,,,,,periodically high,,,height > width,100-500,self-supporting,,,,lower,Pinidae,1247.0,23.9000001,43.61924647,17.5,10.42499995,0.166666587,12.28333338,12.9000001,0.833333274,-6.400000095,528.9574912,2.455260277,,,resists,,,,,,5,,,0.587499999,1.6643,3.508333286,woody
5,Abies nordmanniana,,,,,,,,,wings,,,,does not kill insects,,,24,,,,,,,,,monoecious,,17,,,,,,,,,,,,,,,1848.0,vc 22,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,polycarpic,Ecto,,,,seed,,,,autotrophic,,,,,,,,glabrous,,,,,4400,,,,,,,,,,,,,,,,,,,,"Stace,C. 2010 New FLora of the British Isles, third edition   Cambridge University Press",,,,,,,,,,,8,,wind,,partial,,,2,,,,,,,,,,,,,,,,,fertile,,,Archeophyt in British Islands,,,,,,,,,,free,,,,,ht >> width,,self-supporting,,,,,,,,,,,,,,,,,,,,,resistant,,,,,,,no ramets,,,,woody
6,Abies procera,543.0,none,817.5,,,,,mast,wings,74.5,250.0,,does not kill insects,,34.46533333,24,2.0,,,71.45,,TRY db 068,Wirth C. The Functional Ecology of Trees (FET) Database  - Jena,,,wind,37,,1.050000012,,,,,,,,,Pinaceae,,,,,,,,,,,0.538569435,1055.0,,,,,,,,,81844.0,,,,,,47.74,7.0,Warsaw University of Life Sciences Arboretum in RogÃ³w,USA,-51.24,Gymnosperms,98.5,,,,803.0,6.833333345,168.2528763,-52.37133408,115.8840027,130.65,974.5,,,,polycarpic,"ecto, ectendo",0.653809249,430.8999939,610.75,seed,,,,autotrophic,,Pinales,,,,41.055,glabrous,,,hairy,> 20 yrs,T,47,,,,,,,,52.27379763,356.5,23.5,95.0,164.5,158.5,445.0,67.0,,,North America,,"Stace,C. 2010 New FLora of the British Isles, third edition   Cambridge University Press",,,,,,100.1030055,,,,,12,,autumn,some non-viable,partial,3-12 months,,24,20.44719982,1675.26001,1.328889966,391.798996,6.065999985,222.9000015,219.9000092,246.4915009,1.068539977,73.5,145.3064957,12275.125,,,,,fertile,,,Archeophyt in British Islands,,,,,,,,,,free draining,,,,,ht >> width,> 500,self-supporting,,,,,Pinidae,1475.5,27.25000024,36.47465596,19.60000038,9.700000045,-0.89166671,5.841666679,15.09166686,9.058333446,-7.649999857,654.7532143,2.103674471,spring,,,resistant,sensitive,,mid,,4,,monoecious,0.746666672,1.22025,3.549999962,woody
7,Abutilon theophrasti,776.5,,331.5,,,,,,,68.0,190.2,,does not kill insects,,2.49,42,6.0,,,64.0,,TRY db 163,"Plant Traits for Grassland Species (Konza Prairie, Kansas, USA)",,,,3.2,,1.0,,,,,,10.0,PPH,,Malvaceae,,cross and self,,1596.0,,,,8.0,,,0.397666663,799.6,HST,,,,,,,,62527.5,,,,,,39.09,9.5,"margin of a cornfield near Urbana, Illinois",USA,-92.395,Angiosperms,86.5,,,,1104.5,12.05833333,191.3488312,-53.22149849,141.8674164,80.25,953.0,2.65,,,polycarpic,,0.522208333,639.3499756,283.5,seed,,,,autotrophic,7.0,Malvales,,,,348.0,soft hairs,,,,06-Dec,H,100,therophyte,,,,,58.0,,51.14382711,92.5,25.5,92.5,322.0,135.0,361.0,70.0,,"France, Portugal, Spain","Europe, N.Africa, S.W.Asia, W. Palearctic","Asia (trop), North America, East Asia","Stace, C.A. 2010    New Flora of the British Isles, Cambridge University Press.",tap,,,,shallow,250.0,,,,0.009,,1000-10000,,,,>20,,,15.30810022,1657.424988,1.432350039,428.2054901,6.591500044,202.699997,151.699997,244.0665054,1.14783001,73.0,181.5619965,15028.79167,,,,,fertile,,,Archeophyt in British Islands,,,,,,,,,,free-draining,,,,,height = width,,self,,,,,Magnoliidae,3056.0,40.1500001,28.50940061,31.5,11.45000003,-1.149999936,-1.149999936,24.4333334,21.98333327,-9.300000191,1027.379379,1.685550332,,,,,,,,,8,,no ramets,1.1,0.83975,4.295833339,woody at base
8,Acacia melanoxylon,654.0,,310.5,,,,,,,62.5,99.8,,,,2.354886364,39.2125,3.0125,,,53.75,,TRY db 063,Read_Melbourne_Royal_Garden,,,,,,1.300000012,,,,,,,Eocene,,Fabaceae,,,,,,,,,,,0.596791685,1654.15,HST,,,,,,,,79623.0,,,,,,-34.838365,10.0,Cedar Brush,Australia,147.83278,Angiosperms,87.0,,,,1246.5,15.22500005,219.0064621,-49.59779167,169.4107513,92.05,751.5,44.95,,,,,0.564656243,631.0,952.75,,,,,,,Fabales,,,,,,,,,,T,,,,,,,,,18.78055983,161.5,48.0,157.5,209.0,91.0,236.0,52.0,,,,,Fonseca et al 2000,,,,,,81.53655636,,,,,,,,,,,,,11.30189991,1023.497528,1.609239995,408.3120117,7.250499964,185.5500031,184.6500015,202.1165009,1.27907002,51.5,206.1954956,16325.66667,,,,,,,,Archeophyt in British Islands,,,,,,,,,,,,,,,,,,,,,,Magnoliidae,3842.5,21.80000067,43.87696258,25.45000076,9.549999893,9.75000004,14.34166678,20.60833351,18.30833348,3.650000095,438.4061767,2.257026434,,,,,,,,,4,,,1.167916678,0.61685,4.183333357,
9,Acaena anserinifolia,,,,,,,,,,,,,does not kill insects,,,,,,,,,,,,hermaphrodite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arbuscular,,,,,,,,autotrophic,,,,,,,,,,,,,15,,C3,,,,,,,,,,,,,,,,Australasia,,"Stace CA 1992    New Flora of the British Isles, Cambridge University Press.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infertile,,,Archeophyt in British Islands,,,,,,,,,,,,,naturalised,,,,procumbent,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,
