,Binomial,Leaf Relative water content (water content / water content at saturation),Leaf Water content (molar) per leaf dry mass (WCd),Leaf Water content saturating (molar) (WCs),Leaf Water content total (molar) (WCt),Leaf area index of the site (LAI),Leaf area: in case of compound leaves undefined if leaf or leaflet; undefined if petiole and rhachis in- or excluded,Leaf carbon content per area,Leaf carbon content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf carotenoid content per dry mass,Leaf chlorophyll a content per dry mass,Leaf chlorophyll a+b content per area,Leaf chlorophyll a/b ratio,Leaf chlorophyll b content per dry mass,Leaf chlorophyll content (a+b) per dry mass,Leaf compoundness,Leaf dry matter content per leaf water-saturated mass (LDMC),Leaf lamina thickness,"Leaf lifespan (longevity, retention time, LL)",Leaf nitrogen content per area (Narea),Leaf nitrogen content per dry mass (Nmass),Leaf petiole length,Leaf phenology type,Leaf phosphorus content per area (Parea),Leaf phosphorus content per dry mass (Pmass),Leaf position,Leaf respiration per area at leaf temperature,Leaf respiration per dry mass,Leaf shape: 2. outline,Leaf shape: 3. pointed/round,Leaf shape: 4. length versus breadth,Leaf shape: 5. leaf base,Leaf shape: 6. leaf petiole type,Leaf thickness,Leaf tissue density,Leaf transpiration (molar) per dry mass,Leaf transpiration rate per dry mass (daytime),Leaf water content per leaf dry mass,"Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)",Leaf water content saturating,Leaf water content total,Leaf water saturation deficit
0,Glechoma hederacea,,838.6025641,,,,01-Oct,,42.98943072,12.03460261,,,,,,,simple,150.8704062,,,,>30,,evergreen,,0.110200915,,,,crenate,rounded,length = width,cordate,petiolate,0.065,384.7610983,,,5.628205128,84.91295938,,,
1,Primula farinosa,,706.289593,,,2.219236076,01-Oct,,,,,,,,,,simple,174.21,,,,1.7,,,,,,,,crenate,rounded,1-3 times as long as wide,cuneate,sessile,0.15,,,,4.740198611,82.579,,,
2,Veronica chamaedrys,,545.141426,,,1.338055491,01-Oct,,47.2,23.23664122,,,,,,16.1,simple,214.6537842,,,,1.93,5.0,evergreen,,0.219534162,,,,crenate,rounded,1-3 times as long as wide,cordate,petiolate,,,,,3.658667288,78.53462158,,,
3,Chrysosplenium alternifolium,,436.4295114,,,1.962638855,01-Oct,,,,,,,,,,simple,254.5139886,,6,,2.376934678,42.5,evergreen,,,,,,crenate,rounded,length = width,cordate,petiolate,,,,,2.929057123,74.54860114,,,
4,Clinopodium vulgare,,390.7157589,,,1.830416679,01-Oct,,44.647,27.80012453,,,,,,,simple,276.0870185,,,,1.606,,semi-evergreen,,0.164,,,,crenate,rounded,1-3 times as long as wide,truncate,petiolate,,,,,2.622253416,72.39129815,,,
5,Veronica montana,,363.6188238,,,1.830416679,01-Oct,,45.243,28.17123288,,,,,,,simple,290.7135905,,,,1.606,10.0,evergreen,,>3,,,,crenate,rounded,length = width,truncate,petiolate,,,,,2.44039479,70.92864095,,,
6,Pyrola minor,,363.1211379,,,,01-Oct,,,,,,,,,,simple,291.805,,,,1.59,25.0,evergreen,,,,,,crenate,rounded,length = width,cuneate,petiolate,,,,,2.437054617,70.8195,,,
7,Vaccinium vitis-idaea,,233.3099379,,,1.231666684,01-Oct,,52.7,46.63716814,0.48,,,,,2.105,simple,389.7361414,,27.96,,1,,evergreen,,0.078,,,7.5756,crenate,rounded,1-3 times as long as wide,cuneate,petiolate,0.45,296.6923046,,,1.565838509,61.02638586,,,
8,Betula nana,,222.9887897,,,0.839583337,01-Oct,,53.8,21.22709163,1.329032258,,,2.9,,5.2,simple,402.05,,3,,2,1.0,aestival,,0.23,,,13.2573,crenate,rounded,length = width,,petiolate,0.261,267.1815675,,,1.496569059,59.795,,,
9,Saxifraga hirsuta,,,,,1.00222218,01-Oct,,,,,,,,,,simple,,,,,1.606,60.0,,,,,,,crenate,rounded,length = width,cordate,petiolate,0.43,94.60920815,,,,,,,
