Family	plant_number	SC_per_field tip	Av_stom_per_SC tip	SC_per_field mid	Av_stom_per_SC mid	SC_per_field left	Av_stom_per_SC left	SC_per_field right	Av_stom_per_SC right
360	001	16	1.125	19	1.894736842	18	1.611111111	20	1.9
360	002	22	1.859504132	18	2	14	2.071428571	15	2.022222222
360	006	17	2.117647059	24	2.041666667	17	2	18	2.111111111
360	009	16	1.5	15	1.6	16	1.6875	23	1.608695652
360	010	17	1	14	1.071428571	17	1.058823529	20	1.25
360	011	13	1.461538462	10	1.7	11	1.454545455	11	1.727272727
360	013	22	1.545454545	17	1.882352941	19	2.052631579	16	1.8125
360	015	17	1.661764706	16	1.825	16	1.875	12	2
360	016	14	1.5	15	1.6	14	1.714285714	18	1.555555556
360	020	14	1.557142857	16	1.75	13	1.769230769	15	1.466666667
360	021	17	1.352941176	19	1.631578947	20	1.65	21	1.523809524
360	022	21	2.047619048	15	2.466666667	17	1.941176471	14	2.714285714
360	026	10	1.6	6	2.166666667	5	1.8	10	1.7
360	028	16	1.825	13	1.846153846	15	1.806666667	13	2.076923077
360	029	16	1.825	13	1.846153846	15	1.806666667	13	2.076923077
360	032	20	1.2	13	1.384615385	18	1.277777778	18	1.277777778
360	034	19	1.421052632	21	1.285714286	20	1.8	22	1.590909091
360	035	8	1.75	14	1.642857143	11	1.545454545	13	1.923076923
360	037	20	1.4	16	1.375	17	1.764705882	17	1.764705882
360	043	22	1.681818182	12	1.583333333	12	2	13	2.076923077
360	044	20	2.1	15	1.266666667	17	1.352941176	15	1.4
360	051	22	1.909090909	20	2.15	25	2.08	NA	NA
360	056	23	1.434782609	16	2.25	13	1.769230769	14	2
360	058	17	1.529411765	8	2.5	9	1.888888889	7	2
360	063	10	1.2	11	1.454545455	10	1.5	7	1.714285714
360	066	19	1.210526316	18	1.555555556	14	1.214285714	15	1.4
360	070	8	1.375	7	1.142857143	9	1.111111111	6	1.666666667
360	071	7	2	5	2.2	6	2.666666667	4	2.5
360	073	10	2.2	8	2.25	6	2.333333333	8	2.125
360	075	15	1.4	10	1.8	11	1.818181818	10	1.7
360	077	17	1.529411765	8	1.875	16	1.5625	16	1.5625
360	081	18	1.222222222	11	1.545454545	14	1.571428571	15	1.333333333
360	082	12	1.166666667	7	1.571428571	8	1.125	10	1.4
360	089	11	1.363636364	11	1.636363636	13	1.769230769	7	2
360	093	10	1.1	8	1.375	6	1.166666667	10	1.3
360	094	12	2	12	2.5	10	2.3	17	1.764705882
360	095	13	2.153846154	17	1.411764706	11	1.818181818	14	1.928571429
360	096	20	1.95	16	2	18	1.833333333	21	1.761904762
360	097	12	1.583333333	13	2.153846154	12	1.416666667	12	1.583333333
360	099	19	1.631578947	13	1.384615385	15	1.666666667	20	1.8
360	101	22	2.363636364	20	2.95	19	2.421052632	23	2.086956522
360	103	18	1.5	22	1.727272727	9	1.666666667	12	1.666666667
360	107	5	1.2	5	1.4	6	1.333333333	8	1.125
360	108	19	1.473684211	17	1.647058824	11	1.545454545	16	1.6875
360	109	9	1.444444444	8	1.125	5	2	8	1.75
360	110	4	1.25	4	2	9	1.444444444	8	1.75
360	112	14	1.5	18	1.5	20	1.7	15	1.6
360	113	15	1.6	14	1.642857143	13	1.538461538	15	1.6
360	119	25	1.4	21	1.619047619	14	1.857142857	13	1.615384615
360	120	9	1.222222222	6	1.833333333	7	1.714285714	7	1.571428571
360	121	17	1	7	1.571428571	16	1.1875	11	1.454545455
360	125	13	1.615384615	9	1.666666667	12	1.833333333	11	2.090909091
360	127	22	1.727272727	10	1.9	16	1.625	13	1.769230769
360	128	19	1.473684211	17	1.941176471	12	2.25	15	1.666666667
360	129	9	1	5	1	7	1.285714286	7	1.428571429
360	130	9	1.333333333	9	1.333333333	11	1.181818182	9	1
360	131	10	1.8	9	1.888888889	12	2.333333333	12	2.083333333
360	132	10	1.2	10	1.7	10	1.4	8	1.875
360	134	10	2.028571429	9	1.555555556	13	1.923076923	7	2.285714286
360	138	11	1.272727273	9	1.444444444	7	1.571428571	10	1.3
360	142	10	2.1	13	1.923076923	9	1.777777778	12	2.166666667
360	143	13	1.538461538	10	2.1	13	1.769230769	13	1.769230769
