,Leaf_Area(mm2),Leaf_perimeter_1(mm),Circularity,Leaf Width (mm),Leaf Length (mm),Length to width ratio,Leaf symmetry_horizontal,Leaf symmetry_vertical,Number of indnets in leaf,Mean leaf indent width,mean leaf indent depth,Leaf fresh weight,Leaf dry wieght,Leaf_Area_2 (mm2),Speciofic leaf area,Ldmc ( mgg-1),LMA (gm-2),Chlorophyll content (Spad),Percent nitrogen,percent carbon,Adaxial epidermis cell type,Leaf_thickness,Thickness  of adaxial epidermis,Thickness  of adaxial hypodermis,Adaxial cell depth,Adaxial  hypodermis cell layers,Thickness  of abaxial epidermis,Thickness  of abaxial hypodermis,Abaxial cell depth,Abaxial  hypodermis cell layers,Depth of mesophyll,Dpeth of palisade mesophyll,Depth of spongy mesophyll,Number of stomatal clusters per mm2 of leaf ,Average distance between stomatal clusters,Substomatal chamber width,Substomatal chamber length,Number of stomata in each cluster,Abaxial length of trichomes type 1,Abaxial number of trichomes type 1,Abaxial number of trichome type 2,,Adaxial number of trichomes type 1,Adaxial number of trichome type 2,Width of petiole,Number of central vascular bundles,Number of inner vascular bundles,Number of outer vascular bundles,Length of inner vascular bundle in cross section,Width of inner vascular bundle in cross section,Length of outer vascular bundle in cross section,Width of outer vascular bundle in cross section,Petiole Length,Petiole Width,Length_Leaf_1,Length_Leaf_2,Leaf_width,Stipule_lengthRhizome count,,Number of leaves,Length of rhizome,Width of rhizome
Observation,Area,Perimeter,Circularity,width,Length,l:W,H. Symm,ver.symm ,N._I,I_w_m,I_d_m,Fw (g),Dw 1 (gm),A_2,SLA,Ldmc,LMA,Chlorophyll,%N,%C,peaked_epidermis,leaf_depth,Ad_epi,Ad_hyp,Ad_cell,Ndhc,Ab_epi,Ab_hyp,Ab_cell,Nbhc,meso,dpm,dsm,NscF,Av,sscw,sscl,Nsc,blt1,bNt1,bNt2,dlt1,dNt1,dNt2,wp,Ncvb,Nivb,Novb,Livb,wivb,Lovb,wovb,PetL,PetW,LL1,LL2,LW,StipL,rhiz,N0L,Lrhiz,wrhiz
360_001,15300.25,471.37,82.42,132.41,175.44,1.33,0.55,1.11,29.5,14.56,1.52,8.21,0.418,15175.77,363.06,50.91,27.54,43.9,3.77,50.38,1,0.54,0.0353,0.1803,0.1477,1,0.039,0.1217,0.1153,1,0.1273,0.0468,0.0837,100,0.26,0.1371,0.1089,3.8,1.397,14.667,2.667,0.233,0.333,1.333,4.9,0,5,19,0.3833,0.1537,0.2927,0.1177,165,5.73,120,165,115,27,3,18,15,10.98
360_002,5651.79,271.32,80.66,80.33,103.49,1.3,0.74,1.08,21.33,11.47,1.45,1.93,0.121,5492.07,453.89,62.69,22.03,31.5,5.78,63.64,1,0.44,0.0118,0.0601,0.0492,1,0.0312,0.0406,0.128,1,0.14,0.0581,0.0581,66.7,0.26,0.1326,0.2186,4.4,1.196,8,1,1.371,2,0.333,4.57,0,5,11,0.4303,0.1753,0.248,0.1287,180,5.18,85,125,95,15,2,10,20,7.69
360_003,8985.43,391.28,79.18,106.1,134.3,1.27,0.72,0.77,26,13,2.18,3.18,0.25,8985.43,359.42,78.61,27.82,42.93,4.31,49.43,0,0.34,0.03,0.02,0.0164,1,0.04,0.06,0.0128,1,0.11,0.04,0.06,86.7,0.22,0.0976,0.0715,1.6,1.339,15,1.333,0.992,3.333,1,5.06,1,6,23,0.347,0.1537,0.2247,0.1187,190,5.88,110,145,105,15,6,24,14.1,7.47
360_004,12470.47,408.28,85.44,119.19,147.38,1.2,0.73,1.08,29,11.92,1.71,2.54,0.176,6062.57,344.46,69.29,29.03,30.37,6.14,52.54,0,0.5,0.0367,0.195,0.151,1,0.0357,0.0702,0.124,1,0.153,0.069,0.073,86.7,0.22,0.0976,0.0715,1.6,1.704,12.667,1.333,1.03,1.667,1,5.84,0,7,24,0.4067,0.1887,0.2637,0.1273,240,7.5,165,110,120,28,2,11,20,11.73
360_005,6238.42,301.6,79.55,81.4,118.46,1.46,0.62,1.31,18,11.41,1.46,2.94,0.204,6424.59,314.93,69.39,31.75,41.5,4.41,50.55,0,0.45,0.0371,0.174,0.1673,1,0.0378,0.0967,0.1167,1,0.123,0.05,0.0693,88.3,0.26,0.1408,0.1174,2.4,0.916,14.667,2.333,0.596,1,0.333,3.65,0,6,15,0.2967,0.1647,0.2433,0.125,135,4.15,70,95,65,13,3,18,18.3,5.66
360_006,13362.04,456.1,73.6,123.55,180.52,1.46,0.54,1.54,37,11.16,1.48,2.94,0.182,13362.04,742.2,61.9,18,31.73,5.02,57.37,1,0.55,0.02,0.2,0.109,1,0.03,0.11,0.1,1,0.11,0.04,0.08,68.3,0.26,0.1668,0.1692,3.8,0.785,4.333,1,0.891,3,1.333,6.1,0,8,27,0.326,0.1997,0.25,0.1483,230,7.21,115,155,100,12,4,20,15,5.4
360_007,8238.15,364.83,83.75,97.67,125.87,1.3,0.32,1.09,24,14.12,1.91,3.41,0.215,7305.38,339.79,63.05,29.43,44.77,6.31,58.94,0,0.49,0.0384,0.15,0.1193,1,0.0396,0.1183,0.153,1,0.1657,0.0805,0.0877,61.7,0.35,0.1606,0.1478,2.8,1.156,6,0.333,0.601,4.333,0.333,5.19,0,6,23,0.3747,0.2533,0.2593,0.1653,165,6.5,100,135,100,28,3,13,15,9.1
360_008,8926.49,349.85,80.79,103.49,133.72,1.29,0.78,1.03,26,13.75,1.6,3.97,0.248,8183.22,329.97,62.47,30.31,43.13,2.54,26.87,0,0.45,0.0396,0.173,0.118,1,0.0335,0.0991,0.1073,1,0.1173,0.0374,0.0741,81.7,0.23,0.1492,0.1576,4.2,0.824,9,4.667,1.023,2,0.667,4.92,0,6,16,0.295,0.141,0.2687,0.117,170,6.21,105,145,115,28,5,22,18,7.16
360_009,21926.84,557.27,71.65,149.13,219.48,1.47,0.41,1.35,33.5,14.56,2.01,1.28,0.131,36281.86,2769.61,102.34,3.61,40.2,5.38,60.63,0,0.63,0.0308,0.1923,0.1217,1,0.0394,0.0697,0.1207,1,0.1497,0.0448,0.0899,71.7,0.23,0.0746,0.0977,1.8,1.322,11.667,1.333,1.265,5.333,1,3.81,0,5,16,0.2233,0.1377,0.2257,0.0953,145,4.65,90,120,85,24,6,26,16.3,7
